Name,Betweenness Centrality (BC),Degree,Ranking by BC,Label
starPep_07857,0,1,2376,Peptide
starPep_07856,0,1,2375,Peptide
starPep_07855,0,1,2374,Peptide
starPep_07854,0,1,2373,Peptide
starPep_07853,0,1,2372,Peptide
starPep_07852,0,1,2371,Peptide
starPep_07851,0,1,2370,Peptide
starPep_07850,0,1,2369,Peptide
starPep_07848,0,1,2368,Peptide
starPep_07846,0,1,2367,Peptide
starPep_07843,0,0,2366,Peptide
starPep_07832,0,1,2365,Peptide
starPep_07827,0,1,2364,Peptide
starPep_07826,0,1,2363,Peptide
starPep_07825,0,1,2362,Peptide
starPep_07824,0,1,2361,Peptide
starPep_07823,0,1,2360,Peptide
starPep_07822,0,1,2359,Peptide
starPep_07821,0,1,2358,Peptide
starPep_07785,0,1,2357,Peptide
starPep_07784,0,1,2356,Peptide
starPep_07753,0,1,2355,Peptide
starPep_07749,0,1,2354,Peptide
starPep_07744,0,0,2353,Peptide
starPep_07743,0,1,2352,Peptide
starPep_07737,0,1,2351,Peptide
starPep_07736,0,1,2350,Peptide
starPep_07735,0,1,2349,Peptide
Odorrana andersonii,31688.06667,16,32,Origin
starPep_07700,0,1,2347,Peptide
starPep_07690,0,1,2346,Peptide
starPep_07682,0,1,2345,Peptide
starPep_07681,0,0,2344,Peptide
starPep_07675,0,1,2343,Peptide
starPep_07673,0,1,2342,Peptide
starPep_07670,0,1,2341,Peptide
starPep_07669,0,1,2340,Peptide
starPep_07631,0,1,2339,Peptide
starPep_07630,0,1,2338,Peptide
starPep_07629,0,1,2337,Peptide
starPep_07628,0,1,2336,Peptide
starPep_07614,0,1,2335,Peptide
starPep_07604,0,1,2334,Peptide
starPep_07603,0,1,2333,Peptide
starPep_07559,0,1,2332,Peptide
starPep_07558,0,1,2331,Peptide
starPep_07557,0,1,2330,Peptide
starPep_07544,0,1,2329,Peptide
starPep_07521,0,1,2328,Peptide
starPep_07520,0,1,2327,Peptide
starPep_07519,0,1,2326,Peptide
starPep_07518,0,1,2325,Peptide
starPep_07504,0,1,2324,Peptide
starPep_07502,0,1,2323,Peptide
starPep_07494,0,1,2322,Peptide
starPep_07469,0,1,2321,Peptide
starPep_07429,0,0,2320,Peptide
starPep_07427,0,1,2319,Peptide
starPep_07426,0,1,2318,Peptide
starPep_07425,0,1,2317,Peptide
starPep_07423,0,1,2316,Peptide
starPep_07422,0,1,2315,Peptide
starPep_07421,0,1,2314,Peptide
starPep_07420,0,1,2313,Peptide
starPep_07419,0,1,2312,Peptide
starPep_07418,0,1,2311,Peptide
starPep_07417,0,1,2310,Peptide
starPep_07416,0,1,2309,Peptide
starPep_07409,0,1,2308,Peptide
starPep_07408,0,1,2307,Peptide
starPep_07401,0,1,2306,Peptide
starPep_07400,0,1,2305,Peptide
starPep_07399,0,1,2304,Peptide
starPep_07398,0,1,2303,Peptide
starPep_07321,0,1,2302,Peptide
starPep_07316,0,1,2301,Peptide
starPep_07311,0,1,2300,Peptide
starPep_07308,0,1,2299,Peptide
starPep_07290,0,1,2298,Peptide
starPep_07276,0,1,2297,Peptide
starPep_07215,0,1,2296,Peptide
starPep_07208,0,1,2295,Peptide
starPep_07194,0,1,2294,Peptide
starPep_07193,0,1,2293,Peptide
starPep_07192,0,1,2292,Peptide
starPep_07191,0,1,2291,Peptide
starPep_07190,0,1,2290,Peptide
starPep_07189,0,1,2289,Peptide
starPep_07188,0,1,2288,Peptide
starPep_07187,0,1,2287,Peptide
starPep_07184,0,1,2286,Peptide
starPep_07183,0,1,2285,Peptide
starPep_07163,0,1,2284,Peptide
starPep_07151,0,1,2283,Peptide
starPep_07121,0,1,2282,Peptide
starPep_07051,0,1,2281,Peptide
starPep_07050,0,1,2280,Peptide
starPep_06974,0,1,2279,Peptide
starPep_06954,0,1,2278,Peptide
starPep_06945,0,1,2277,Peptide
starPep_06944,0,1,2276,Peptide
starPep_06862,0,1,2275,Peptide
starPep_06861,0,1,2274,Peptide
starPep_06844,0,1,2273,Peptide
starPep_06837,0,1,2272,Peptide
starPep_06832,0,1,2271,Peptide
starPep_06831,0,1,2270,Peptide
starPep_06830,0,1,2269,Peptide
starPep_06828,0,1,2268,Peptide
starPep_06827,0,1,2267,Peptide
starPep_06824,0,1,2266,Peptide
starPep_06823,0,1,2265,Peptide
starPep_06822,0,1,2264,Peptide
starPep_06821,0,1,2263,Peptide
starPep_06817,0,1,2262,Peptide
starPep_06816,0,1,2261,Peptide
starPep_06794,0,1,2260,Peptide
starPep_06789,0,1,2259,Peptide
starPep_06767,0,1,2258,Peptide
starPep_06762,0,1,2257,Peptide
starPep_06761,0,1,2256,Peptide
starPep_06733,0,1,2255,Peptide
starPep_06722,0,0,2254,Peptide
starPep_06716,0,1,2253,Peptide
starPep_06690,0,1,2252,Peptide
starPep_06687,0,0,2251,Peptide
starPep_06686,0,0,2250,Peptide
starPep_06655,0,1,2249,Peptide
starPep_06654,0,1,2248,Peptide
starPep_06653,0,1,2247,Peptide
starPep_06652,0,1,2246,Peptide
starPep_06651,0,1,2245,Peptide
starPep_06650,0,1,2244,Peptide
starPep_06649,0,1,2243,Peptide
starPep_06648,0,1,2242,Peptide
starPep_06647,0,1,2241,Peptide
starPep_06646,0,1,2240,Peptide
starPep_06645,0,1,2239,Peptide
starPep_06644,0,1,2238,Peptide
starPep_06643,0,1,2237,Peptide
starPep_06642,0,1,2236,Peptide
starPep_06641,0,1,2235,Peptide
starPep_06639,0,1,2234,Peptide
starPep_06629,0,1,2233,Peptide
starPep_06628,0,1,2232,Peptide
starPep_06627,0,1,2231,Peptide
starPep_06625,0,1,2230,Peptide
starPep_06624,0,1,2229,Peptide
starPep_06622,0,1,2228,Peptide
starPep_06621,0,1,2227,Peptide
starPep_06620,0,1,2226,Peptide
starPep_06619,0,1,2225,Peptide
starPep_06618,0,1,2224,Peptide
starPep_06617,0,1,2223,Peptide
starPep_06616,0,1,2222,Peptide
starPep_06615,0,1,2221,Peptide
starPep_06605,0,1,2220,Peptide
starPep_06604,0,1,2219,Peptide
starPep_06603,0,1,2218,Peptide
starPep_06601,0,1,2217,Peptide
starPep_06600,0,1,2216,Peptide
starPep_06590,0,1,2215,Peptide
starPep_06588,0,1,2214,Peptide
starPep_06586,0,1,2213,Peptide
starPep_06585,0,1,2212,Peptide
starPep_06577,0,1,2211,Peptide
starPep_06576,0,1,2210,Peptide
starPep_06572,0,1,2209,Peptide
starPep_06551,0,1,2208,Peptide
starPep_06550,0,1,2207,Peptide
starPep_06549,0,1,2206,Peptide
starPep_06544,0,1,2205,Peptide
starPep_06542,0,1,2204,Peptide
starPep_06540,0,1,2203,Peptide
starPep_06536,0,1,2202,Peptide
starPep_06534,0,0,2201,Peptide
starPep_06533,0,1,2200,Peptide
starPep_06532,0,1,2199,Peptide
starPep_06531,0,1,2198,Peptide
starPep_06530,0,1,2197,Peptide
starPep_06529,0,1,2196,Peptide
starPep_06528,0,1,2195,Peptide
starPep_06523,0,1,2194,Peptide
starPep_06522,0,1,2193,Peptide
starPep_06514,0,1,2192,Peptide
starPep_06510,0,1,2191,Peptide
starPep_06505,0,1,2190,Peptide
starPep_06504,0,1,2189,Peptide
starPep_06500,0,1,2188,Peptide
starPep_06498,0,1,2187,Peptide
starPep_06497,0,1,2186,Peptide
starPep_06496,0,1,2185,Peptide
starPep_06494,0,1,2184,Peptide
starPep_06493,0,1,2183,Peptide
starPep_06492,0,1,2182,Peptide
starPep_06487,0,1,2181,Peptide
starPep_06486,0,1,2180,Peptide
starPep_06485,0,1,2179,Peptide
starPep_06479,0,1,2178,Peptide
starPep_06469,0,1,2177,Peptide
starPep_06467,0,1,2176,Peptide
starPep_06466,0,1,2175,Peptide
starPep_06465,0,1,2174,Peptide
starPep_06464,0,1,2173,Peptide
starPep_06462,0,1,2172,Peptide
starPep_06460,0,1,2171,Peptide
starPep_06458,0,1,2170,Peptide
starPep_06457,0,1,2169,Peptide
starPep_06451,0,1,2168,Peptide
starPep_06449,0,1,2167,Peptide
starPep_06448,0,1,2166,Peptide
starPep_06447,0,1,2165,Peptide
starPep_06446,0,1,2164,Peptide
starPep_06445,0,1,2163,Peptide
starPep_06444,0,1,2162,Peptide
starPep_06443,0,1,2161,Peptide
starPep_06442,0,1,2160,Peptide
starPep_06441,0,1,2159,Peptide
starPep_06440,0,1,2158,Peptide
starPep_06439,0,1,2157,Peptide
starPep_06438,0,1,2156,Peptide
starPep_06437,0,1,2155,Peptide
starPep_06436,0,1,2154,Peptide
starPep_06435,0,1,2153,Peptide
starPep_06434,0,1,2152,Peptide
starPep_06433,0,1,2151,Peptide
starPep_06432,0,1,2150,Peptide
starPep_06431,0,1,2149,Peptide
starPep_06430,0,1,2148,Peptide
starPep_06429,0,1,2147,Peptide
starPep_06428,0,1,2146,Peptide
starPep_06424,0,0,2145,Peptide
starPep_06422,0,1,2144,Peptide
starPep_06421,0,1,2143,Peptide
starPep_06419,0,0,2142,Peptide
starPep_06418,0,1,2141,Peptide
starPep_06417,0,1,2140,Peptide
starPep_06416,0,1,2139,Peptide
starPep_06415,0,1,2138,Peptide
starPep_06414,0,1,2137,Peptide
starPep_06412,0,1,2136,Peptide
starPep_06408,0,1,2135,Peptide
starPep_06407,0,1,2134,Peptide
starPep_06406,0,1,2133,Peptide
starPep_06376,0,1,2132,Peptide
starPep_06375,0,1,2131,Peptide
starPep_06369,0,1,2130,Peptide
starPep_06365,0,1,2129,Peptide
starPep_06360,0,1,2128,Peptide
starPep_06353,0,1,2127,Peptide
starPep_06345,0,1,2126,Peptide
starPep_06344,0,1,2125,Peptide
starPep_06343,0,1,2124,Peptide
starPep_06342,0,1,2123,Peptide
starPep_06341,0,1,2122,Peptide
starPep_06340,0,1,2121,Peptide
starPep_06339,0,1,2120,Peptide
starPep_06338,0,1,2119,Peptide
starPep_06337,0,1,2118,Peptide
starPep_06336,0,1,2117,Peptide
starPep_06335,0,1,2116,Peptide
starPep_06321,0,1,2115,Peptide
starPep_06302,0,1,2114,Peptide
starPep_06301,0,1,2113,Peptide
starPep_06300,0,1,2112,Peptide
starPep_06299,0,1,2111,Peptide
starPep_06298,0,1,2110,Peptide
starPep_06297,0,1,2109,Peptide
starPep_06295,0,1,2108,Peptide
starPep_06293,0,1,2107,Peptide
starPep_06292,0,1,2106,Peptide
starPep_06291,0,1,2105,Peptide
starPep_06290,0,1,2104,Peptide
starPep_06289,0,1,2103,Peptide
starPep_06288,0,1,2102,Peptide
starPep_06286,0,1,2101,Peptide
starPep_06285,0,1,2100,Peptide
