"Name","Label","Ranking by BC","Betweenness Centrality (BC)","Degree"
"starPep_06289","Peptide","1620","0.9630236410701664","5"
"starPep_06290","Peptide","369","28.991919271469467","10"
"starPep_06291","Peptide","758","4.903384392072614","4"
"starPep_06292","Peptide","1621","0.9630236410701664","5"
"starPep_06293","Peptide","1622","0.9630236410701664","5"
"starPep_06295","Peptide","1414","1.5139620525036566","6"
"starPep_06297","Peptide","759","4.903384392072614","4"
"starPep_06298","Peptide","909","3.4265779441737485","8"
"starPep_06299","Peptide","1415","1.5139620525036566","6"
"starPep_06300","Peptide","1087","2.6013673189454445","7"
"starPep_06301","Peptide","1416","1.5139620525036566","6"
"starPep_06302","Peptide","1417","1.5139620525036566","6"
"starPep_06321","Peptide","1418","1.5139620525036566","6"
"starPep_06335","Peptide","1024","2.9810351989980006","7"
"starPep_06336","Peptide","1025","2.9810351989980006","7"
"starPep_06337","Peptide","1026","2.9810351989980006","7"
"starPep_06338","Peptide","1718","0.6276086558641639","4"
"starPep_06339","Peptide","1719","0.6276086558641639","4"
"starPep_06340","Peptide","1720","0.6276086558641639","4"
"starPep_06341","Peptide","1721","0.6276086558641639","4"
"starPep_06342","Peptide","1722","0.6276086558641639","4"
"starPep_06343","Peptide","1419","1.5139620525036566","6"
"starPep_06344","Peptide","1723","0.6276086558641639","4"
"starPep_06345","Peptide","1724","0.6276086558641639","4"
"starPep_06353","Peptide","370","28.991919271469467","10"
"starPep_06360","Peptide","1606","1.0526588151414364","5"
"starPep_06365","Peptide","1725","0.6276086558641639","4"
"starPep_06369","Peptide","1714","0.6918692255118296","5"
"starPep_06375","Peptide","1325","1.7999623892852419","5"
"starPep_06376","Peptide","1326","1.7999623892852419","5"
"starPep_06406","Peptide","1027","2.9810351989980006","7"
"starPep_06407","Peptide","1028","2.9810351989980006","7"
"starPep_06408","Peptide","1029","2.9810351989980006","7"
"starPep_06412","Peptide","525","14.839491298814568","7"
"starPep_06414","Peptide","1420","1.5139620525036566","6"
"starPep_06415","Peptide","1088","2.6013673189454445","7"
"starPep_06416","Peptide","1421","1.5139620525036566","6"
"starPep_06417","Peptide","1422","1.5139620525036566","6"
"starPep_06418","Peptide","1423","1.5139620525036566","6"
"starPep_06419","Peptide","154","103.97422062142829","6"
"starPep_06421","Peptide","1593","1.1011601845203762","5"
"starPep_06422","Peptide","1594","1.1011601845203762","5"
"starPep_06424","Peptide","502","16.800501311834633","6"
"starPep_06428","Peptide","1424","1.5139620525036566","6"
"starPep_06429","Peptide","1425","1.5139620525036566","6"
"starPep_06430","Peptide","1426","1.5139620525036566","6"
"starPep_06431","Peptide","1427","1.5139620525036566","6"
"starPep_06432","Peptide","1623","0.9630236410701664","5"
"starPep_06433","Peptide","732","7.276911024594249","7"
"starPep_06434","Peptide","1624","0.9630236410701664","5"
"starPep_06435","Peptide","1625","0.9630236410701664","5"
"starPep_06436","Peptide","1626","0.9630236410701664","5"
"starPep_06437","Peptide","1627","0.9630236410701664","5"
"starPep_06438","Peptide","1628","0.9630236410701664","5"
"starPep_06439","Peptide","733","7.276911024594249","7"
"starPep_06440","Peptide","734","7.276911024594249","7"
"starPep_06441","Peptide","371","28.991919271469467","10"
"starPep_06442","Peptide","1629","0.9630236410701664","5"
"starPep_06443","Peptide","1630","0.9630236410701664","5"
"starPep_06444","Peptide","1127","2.2452392910665107","6"
"starPep_06445","Peptide","372","28.991919271469467","10"
"starPep_06446","Peptide","735","7.276911024594249","7"
"starPep_06447","Peptide","736","7.276911024594249","7"
"starPep_06448","Peptide","737","7.276911024594249","7"
"starPep_06449","Peptide","1128","2.2452392910665107","6"
"starPep_06451","Peptide","1428","1.5139620525036566","6"
"starPep_06457","Peptide","1429","1.5139620525036566","6"
"starPep_06458","Peptide","1430","1.5139620525036566","6"
"starPep_06460","Peptide","1431","1.5139620525036566","6"
"starPep_06462","Peptide","1327","1.7999623892852419","5"
"starPep_06464","Peptide","1432","1.5139620525036566","6"
"starPep_06465","Peptide","373","28.991919271469467","10"
"starPep_06466","Peptide","1433","1.5139620525036566","6"
"starPep_06467","Peptide","1434","1.5139620525036566","6"
"starPep_06469","Peptide","1595","1.1011601845203762","5"
"starPep_06479","Peptide","1435","1.5139620525036566","6"
"starPep_06485","Peptide","1436","1.5139620525036566","6"
"starPep_06486","Peptide","1437","1.5139620525036566","6"
"starPep_06487","Peptide","1438","1.5139620525036566","6"
"starPep_06492","Peptide","1439","1.5139620525036566","6"
"starPep_06493","Peptide","1440","1.5139620525036566","6"
"starPep_06494","Peptide","1441","1.5139620525036566","6"
"starPep_06496","Peptide","1442","1.5139620525036566","6"
"starPep_06497","Peptide","1443","1.5139620525036566","6"
"starPep_06498","Peptide","1444","1.5139620525036566","6"
"starPep_06500","Peptide","1445","1.5139620525036566","6"
"starPep_06504","Peptide","1446","1.5139620525036566","6"
"starPep_06505","Peptide","1447","1.5139620525036566","6"
"starPep_06510","Peptide","214","62.40311300773876","8"
"starPep_06514","Peptide","910","3.4265779441737485","8"
"starPep_06522","Peptide","1734","0.60554680721599","4"
"starPep_06523","Peptide","1030","2.9810351989980006","7"
"starPep_06528","Peptide","1735","0.60554680721599","4"
"starPep_06529","Peptide","1596","1.1011601845203762","5"
"starPep_06530","Peptide","1736","0.60554680721599","4"
