"Name","Label","Betweenness Centrality (BC)","Ranking by BC","Degree"
"starPep_07863","Peptide","265.3782697160223","1195","9"
"starPep_07866","Peptide","301.36051391226704","1134","5"
"starPep_07868","Peptide","233.29110003545475","1249","5"
"starPep_07873","Peptide","144.97203784987087","1472","6"
"starPep_07874","Peptide","121.37210662953804","1561","5"
"starPep_07875","Peptide","144.97203784987087","1473","6"
"starPep_07878","Peptide","178.1474756001158","1329","7"
"starPep_07880","Peptide","178.1474756001158","1330","7"
"starPep_07903","Peptide","80.64065100915435","1781","3"
"starPep_07904","Peptide","204.9527319240449","1289","8"
"starPep_07905","Peptide","80.64065100915435","1782","3"
"starPep_07906","Peptide","80.64065100915435","1783","3"
"starPep_07909","Peptide","80.64065100915435","1784","3"
"starPep_07916","Peptide","178.1474756001158","1331","7"
"starPep_07918","Peptide","233.29110003545475","1250","5"
"starPep_07919","Peptide","399.43591937682595","1034","6"
"starPep_07939","Peptide","1072.163212725641","759","5"
"starPep_07945","Peptide","80.64065100915435","1785","3"
"starPep_07948","Peptide","0.0","2402","1"
"starPep_07960","Peptide","106.37002400083355","1646","4"
"starPep_07962","Peptide","355.77625050606815","1072","9"
"starPep_07995","Peptide","1447.6276796505235","696","6"
"starPep_07998","Peptide","155.53859065728838","1439","7"
"starPep_08004","Peptide","252.80980513889025","1217","4"
"starPep_08006","Peptide","106.37002400083355","1647","4"
"starPep_08007","Peptide","106.37002400083355","1648","4"
"starPep_08009","Peptide","106.37002400083355","1649","4"
"starPep_08013","Peptide","11901.555292387013","136","11"
"Astragalus flavus","Target","28501.27272727275","29","4"
"Astragalus","Target","25920.000000000022","41","2"
"Fabaceae","Target","23337.00000000002","47","2"
"Fabales","Target","20752.000000000015","62","2"
"starPep_08014","Peptide","11901.555292387013","137","11"
"starPep_08015","Peptide","2719.648187784383","453","5"
"starPep_08016","Peptide","11901.555292387013","138","11"
"starPep_08021","Peptide","106.37002400083355","1650","4"
"starPep_08022","Peptide","137.3298381374477","1527","5"
"starPep_08040","Peptide","54.889560953249166","1831","3"
"starPep_08041","Peptide","54.889560953249166","1832","3"
"starPep_08079","Peptide","0.0","2403","1"
"starPep_08081","Peptide","432.35217349461664","1003","8"
"starPep_08083","Peptide","432.35217349461664","1004","8"
"starPep_08084","Peptide","432.35217349461664","1005","8"
"starPep_08085","Peptide","432.35217349461664","1006","8"
"starPep_08086","Peptide","0.0","2404","1"
"starPep_08087","Peptide","265.3782697160223","1196","9"
"starPep_08164","Peptide","0.0","2405","1"
"starPep_08193","Peptide","0.0","2406","1"
"starPep_08194","Peptide","0.0","2407","1"
"starPep_08210","Peptide","0.0","2408","1"
"starPep_08212","Peptide","0.0","2409","0"
"starPep_08213","Peptide","0.0","2410","0"
"starPep_08214","Peptide","0.0","2411","1"
"starPep_08248","Peptide","0.0","2412","0"
"starPep_08298","Peptide","0.0","2413","0"
"starPep_08360","Peptide","0.0","2414","1"
"starPep_08375","Peptide","0.0","2415","1"
"starPep_08411","Peptide","0.0","2416","1"
"starPep_08412","Peptide","0.0","2417","1"
"starPep_08413","Peptide","0.0","2418","1"
"starPep_08414","Peptide","0.0","2419","1"
"starPep_08415","Peptide","0.0","2420","1"
"starPep_08416","Peptide","0.0","2421","1"
"starPep_08417","Peptide","0.0","2422","1"
"starPep_08449","Peptide","0.0","2423","1"
"starPep_08543","Peptide","0.0","2424","1"
"starPep_08547","Peptide","0.0","2425","1"
"starPep_08652","Peptide","0.0","2426","1"
"starPep_08653","Peptide","0.0","2427","1"
"starPep_08654","Peptide","0.0","2428","1"
"starPep_08655","Peptide","0.0","2429","1"
"starPep_08662","Peptide","0.0","2430","1"
"starPep_08714","Peptide","0.0","2431","1"
"starPep_08715","Peptide","0.0","2432","1"
"starPep_08733","Peptide","0.0","2433","1"
"starPep_08748","Peptide","0.0","2434","1"
"starPep_08873","Peptide","0.0","2435","1"
"starPep_08874","Peptide","0.0","2436","1"
"starPep_08875","Peptide","0.0","2437","1"
"starPep_08913","Peptide","0.0","2438","1"
"starPep_08969","Peptide","0.0","2439","1"
"starPep_08971","Peptide","0.0","2440","1"
"starPep_09011","Peptide","0.7686866283010919","2043","2"
"starPep_09094","Peptide","0.0","2441","1"
"starPep_09100","Peptide","1914.308781962764","636","5"
"starPep_09207","Peptide","0.0","2442","1"
"starPep_09225","Peptide","0.0","2443","1"
"starPep_09239","Peptide","0.0","2444","1"
"starPep_09251","Peptide","0.0","2445","1"
"starPep_09252","Peptide","0.0","2446","1"
"starPep_09263","Peptide","0.0","2447","1"
"starPep_09264","Peptide","0.0","2448","1"
"starPep_09316","Peptide","0.0","2449","1"
"starPep_09317","Peptide","0.0","2450","1"
"starPep_09431","Peptide","0.0","2451","1"
"starPep_09481","Peptide","0.0","2452","0"
"starPep_09482","Peptide","0.0","2453","1"
"starPep_09532","Peptide","0.0","2454","1"
"starPep_09539","Peptide","461.16812396017696","977","7"
"starPep_09542","Peptide","0.0","2455","1"
"starPep_09558","Peptide","0.0","2456","1"
"starPep_09559","Peptide","0.0","2457","1"
"starPep_09561","Peptide","0.0","2458","1"
"starPep_09563","Peptide","0.0","2459","1"
"starPep_09593","Peptide","0.0","2460","1"
"starPep_09594","Peptide","0.0","2461","1"
"starPep_09595","Peptide","0.0","2462","1"
"starPep_09597","Peptide","0.0","2463","1"
"starPep_09598","Peptide","0.0","2464","1"
"starPep_09599","Peptide","0.0","2465","1"
"starPep_09600","Peptide","0.0","2466","1"
"starPep_09602","Peptide","0.0","2467","1"
"starPep_09604","Peptide","0.0","2468","1"
"starPep_09605","Peptide","0.0","2469","1"
"starPep_09615","Peptide","0.0","2470","1"
"starPep_09632","Peptide","0.0","2471","1"
"starPep_09633","Peptide","0.0","2472","1"
"starPep_09640","Peptide","0.0","2473","1"
"starPep_09738","Peptide","0.0","2474","1"
"starPep_09740","Peptide","0.0","2475","1"
"starPep_09741","Peptide","0.0","2476","1"
"starPep_09752","Peptide","0.0","2477","1"
"starPep_09753","Peptide","0.0","2478","1"
"starPep_09754","Peptide","0.0","2479","1"
"starPep_09761","Peptide","0.0","2480","1"
"starPep_09799","Peptide","0.0","2481","1"
"starPep_09800","Peptide","0.0","2482","0"
"starPep_09801","Peptide","0.0","2483","1"
"starPep_09802","Peptide","0.0","2484","1"
"starPep_09803","Peptide","0.0","2485","1"
"starPep_09804","Peptide","0.0","2486","0"
"starPep_09805","Peptide","0.0","2487","1"
"starPep_09825","Peptide","0.0","2488","1"
"starPep_09854","Peptide","0.0","2489","1"
"starPep_09860","Peptide","0.0","2490","1"
"starPep_09870","Peptide","0.0","2491","1"
"starPep_09900","Peptide","0.0","2492","1"
"starPep_09904","Peptide","0.0","2493","1"
"starPep_09930","Peptide","45.128156914877","1853","6"
"starPep_09933","Peptide","0.0","2494","1"
"starPep_09959","Peptide","0.0","2495","1"
"starPep_09979","Peptide","0.0","2496","0"
"starPep_09998","Peptide","0.0","2497","1"
"starPep_10001","Peptide","0.0","2498","1"
"starPep_10010","Peptide","0.0","2499","1"
"starPep_10016","Peptide","0.0","2500","1"
"starPep_10113","Peptide","0.0","2501","1"
"starPep_10153","Peptide","0.0","2502","1"
"starPep_10154","Peptide","0.0","2503","1"
"starPep_10185","Peptide","0.0","2504","1"
"starPep_10186","Peptide","0.0","2505","1"
"starPep_10187","Peptide","0.0","2506","1"
"starPep_10188","Peptide","0.0","2507","1"
"starPep_10189","Peptide","0.0","2508","1"
"starPep_10190","Peptide","0.0","2509","1"
"starPep_10191","Peptide","0.0","2510","1"
"starPep_10192","Peptide","0.0","2511","1"
"starPep_10193","Peptide","0.0","2512","1"
"starPep_10194","Peptide","0.0","2513","1"
"starPep_10195","Peptide","0.0","2514","1"
"starPep_10196","Peptide","0.0","2515","1"
"starPep_10252","Peptide","0.0","2516","1"
"starPep_10258","Peptide","0.0","2517","1"
"starPep_10264","Peptide","0.0","2518","1"
"starPep_10285","Peptide","0.0","2519","1"
"starPep_10306","Peptide","0.0","2520","1"
"starPep_10335","Peptide","0.0","2521","1"
"starPep_10364","Peptide","0.0","2522","1"
"starPep_10394","Peptide","0.0","2523","1"
"starPep_10407","Peptide","0.0","2524","1"
"starPep_10414","Peptide","0.0","2525","1"
"starPep_10418","Peptide","0.0","2526","1"
"starPep_10419","Peptide","0.0","2527","1"
"starPep_10420","Peptide","0.0","2528","1"
"starPep_10486","Peptide","0.0","2529","1"
"starPep_10487","Peptide","0.0","2530","1"
"starPep_10514","Peptide","160.9821306329286","1422","2"
"starPep_10560","Peptide","0.0","2531","1"
"starPep_10566","Peptide","0.0","2532","1"
"starPep_10590","Peptide","0.0","2533","1"
"starPep_10618","Peptide","0.0","2534","1"
"starPep_10802","Peptide","0.0","2535","1"
"starPep_10844","Peptide","0.0","2536","1"
"starPep_10845","Peptide","0.0","2537","1"
"starPep_10850","Peptide","0.0","2538","1"
"starPep_10851","Peptide","0.0","2539","1"
"starPep_10852","Peptide","0.0","2540","1"
"starPep_10857","Peptide","0.0","2541","1"
"starPep_10858","Peptide","0.0","2542","1"
"starPep_10900","Peptide","0.0","2543","1"
"starPep_10919","Peptide","0.0","2544","1"
"starPep_10931","Peptide","0.0","2545","1"
"starPep_11018","Peptide","0.0","2546","1"
"starPep_11053","Peptide","0.0","2547","1"
"starPep_11054","Peptide","0.0","2548","1"
"starPep_11071","Peptide","0.0","2549","1"
"starPep_11073","Peptide","0.0","2550","1"
